,0
1812,8
1813,1
1814,26
1815,1
1816,60
1817,78
1818,5
1819,15
1820,21
1821,6
1822,20
1823,1
1824,1
1825,62
1826,54
1827,62
1828,21
1829,35
1830,8
1831,5
1832,11
1833,6
1834,1
1835,1
1836,1
1837,81
1838,53
1839,60
1840,11
1841,23
1842,8
1843,1
1844,1
1845,2
1846,7
1847,36
1848,9
1849,109
1850,62
1851,102
1852,15
1853,40
1854,4
1855,87
1856,1
1857,38
1858,35
1859,36
1860,77
1861,97
1862,32
1863,28
1864,84
1865,8
1866,1
1867,44
1868,205
1869,2
1870,5
1871,12
1872,11
1873,47
1874,33
1875,1
1876,3
1877,1
1878,2
1879,9
1880,5
1881,188
1882,14
1883,2
1884,18
1885,98
1886,19
1887,20
1888,197
1889,2
1890,1
1891,58
1892,26
1893,4
1894,22
1895,2
1896,5
1897,38
1898,6
1899,40
1900,21
1901,143
1902,35
1903,1
1904,3
1905,1
1906,35
1907,35
1908,57
1909,136
1910,233
1911,7
1912,1
1913,37
1914,92
1915,98
1916,14
1917,27
1918,31
1919,56
1920,34
1921,1
1922,39
1923,11
1924,78
1925,3
1926,30
1927,11
1928,7
1929,53
1930,152
1931,75
1932,29
1933,28
1934,92
1935,1
1936,53
1937,6
1938,11
1939,36
1940,83
1941,179
1942,73
1943,1
1944,1
1945,11
1946,15
1947,4
1948,44
1949,7
1950,37
1951,49
1952,5
1953,12
1954,6
1955,12
1956,1
1957,76
1958,69
1959,43
1960,5
1961,62
1962,19
1963,4
1964,93
1965,84
1966,15
1967,74
1968,22
1969,143
1970,15
1971,1
1972,1
1973,155
1974,10
1975,1
1976,1
1977,2
1978,1
1979,6
1980,67
1981,22
1982,1
1983,21
1984,10
1985,13
1986,32
1987,65
1988,108
1989,14
1990,6
1991,114
1992,20
1993,4
1994,84
1995,11
1996,4
1997,84
1998,5
1999,47
2000,9
2001,163
2002,127
2003,2
2004,1
2005,1
2006,12
2007,21
2008,330
2009,1
2010,16
2011,10
2012,130
2013,14
2014,23
2015,9
2016,44
2017,1
2018,7
2019,99
2020,1
2021,1
2022,4
2023,101
2024,2
2025,60
2026,1
2027,5
2028,2
2029,31
2030,54
2031,2
2032,4
2033,57
2034,7
2035,199
2036,8
2037,16
2038,12
2039,44
2040,111
2041,3
2042,15
2043,2
2044,12
2045,25
2046,8
2047,101
2048,25
2049,49
2050,8
2051,2
2052,7
2053,12
2054,1
2055,200
2056,449
2057,1
2058,80
2059,75
2060,66
2061,18
2062,1
2063,269
2064,17
2065,59
2066,109
2067,1
2068,2
2069,43
2070,1
2071,5
2072,48
2073,43
2074,1
2075,77
2076,31
2077,179
2078,55
2079,2
2080,5
2081,10
2082,3
2083,86
2084,40
2085,5
2086,44
2087,18
2088,4
2089,35
2090,3
2091,45
2092,53
2093,14
2094,81
2095,88
2096,101
2097,33
2098,6
2099,3
2100,66
2101,33
2102,30
2103,10
2104,7
2105,9
2106,70
2107,2
2108,21
2109,10
2110,1
2111,2
2112,124
2113,1
2114,44
2115,6
2116,12
2117,6
2118,16
2119,1
2120,47
2121,25
2122,10
2123,99
2124,15
2125,21
2126,12
2127,2
2128,7
2129,17
2130,4
2131,5
2132,36
2133,1
2134,2
2135,1
2136,24
2137,71
2138,1
2139,1
2140,1
2141,89
2142,5
2143,24
2144,10
2145,20
2146,4
2147,22
2148,32
2149,77
2150,44
2151,25
2152,6
2153,4
2154,4
2155,101
2156,1
2157,13
2158,143
2159,13
2160,43
2161,47
2162,23
2163,20
2164,10
2165,1
2166,53
2167,49
2168,44
2169,49
2170,53
2171,17
2172,73
2173,10
2174,17
2175,14
2176,2
2177,21
2178,42
2179,32
2180,67
2181,48
2182,39
2183,12
2184,11
2185,16
2186,2
2187,14
2188,54
2189,1
2190,143
2191,95
2192,44
2193,68
2194,1
2195,65
2196,2
2197,3
2198,1
2199,26
2200,41
2201,86
2202,33
2203,1
2204,1
2205,2
2206,26
2207,10
2208,102
2209,1
2210,69
2211,142
2212,1
2213,2
2214,2
2215,11
2216,33
2217,106
2218,3
2219,1
2220,1
2221,2
2222,81
2223,6
2224,13
2225,4
2226,372
2227,24
2228,102
2229,68
2230,112
2231,42
2232,2
2233,7
2234,148
2235,2
2236,2
2237,1
2238,41
2239,6
2240,7
2241,39
2242,1
2243,2
2244,13
2245,6
2246,35
2247,17
2248,57
2249,1
2250,61
2251,29
2252,68
2253,1
2254,2
2255,1
2256,8
2257,21
2258,241
2259,1
2260,33
2261,1
2262,9
2263,12
2264,3
2265,76
2266,16
2267,85
2268,17
2269,1
2270,5
2271,21
2272,30
2273,19
2274,136
2275,32
2276,15
2277,5
2278,56
2279,58
2280,9
2281,5
2282,112
2283,11
2284,14
2285,79
2286,12
2287,1
2288,155
2289,103
2290,1
2291,1
2292,116
2293,23
2294,5
2295,38
2296,2
2297,112
2298,1
2299,23
2300,58
2301,3
2302,18
2303,1
2304,27
2305,84
2306,1
2307,31
2308,58
2309,53
2310,92
2311,23
2312,9
2313,2
2314,2
2315,201
2316,3
2317,16
2318,17
2319,8
2320,53
2321,1
2322,43
2323,1
2324,1
2325,57
2326,33
2327,1
2328,52
2329,10
2330,59
2331,1
2332,1
2333,1
2334,16
2335,1
2336,58
2337,35
2338,25
2339,7
2340,3
2341,62
2342,50
2343,10
2344,1
2345,1
2346,8
2347,1
2348,2
2349,127
2350,12
2351,153
2352,112
2353,1
2354,4
2355,6
2356,1
2357,88
2358,9
2359,13
2360,6
2361,18
2362,66
2363,1
2364,1
2365,3
2366,72
2367,20
2368,19
2369,116
2370,13
2371,2
2372,1
2373,10
2374,10
2375,168
2376,16
2377,1
2378,12
2379,4
2380,12
2381,3
2382,3
2383,5
2384,23
2385,1
2386,1
2387,58
2388,1
2389,17
2390,9
2391,21
2392,30
2393,24
2394,4
2395,1
2396,1
2397,223
2398,1
2399,9
2400,8
2401,2
2402,37
2403,1
2404,76
2405,1
2406,21
2407,36
2408,12
2409,16
2410,26
2411,5
2412,42
2413,12
2414,329
2415,9
2416,1
2417,3
2418,92
2419,52
2420,9
2421,22
2422,1
2423,46
2424,10
2425,225
2426,37
2427,13
2428,1
2429,97
2430,103
2431,99
2432,2
2433,8
2434,16
2435,9
2436,167
2437,5
2438,35
2439,8
2440,1
2441,98
2442,6
2443,9
2444,1
2445,33
2446,30
2447,21
2448,18
2449,4
2450,5
2451,33
2452,4
2453,1
2454,22
2455,123
2456,1
2457,1
2458,1
2459,46
2460,8
2461,51
2462,55
2463,3
2464,152
2465,58
2466,83
2467,126
2468,1
2469,6
2470,1
2471,41
2472,52
2473,16
2474,2
2475,102
2476,74
2477,5
2478,1
2479,27
2480,1
2481,16
2482,36
2483,22
2484,1
2485,25
2486,1
2487,14
2488,152
2489,55
2490,16
2491,32
2492,303
2493,4
2494,2
2495,1
2496,14
2497,26
2498,1
2499,8
2500,5
2501,23
2502,2
2503,4
2504,3
2505,40
2506,14
2507,20
2508,4
2509,12
2510,11
2511,37
2512,1
2513,72
2514,72
2515,27
2516,3
2517,2
2518,1
2519,2
2520,71
2521,1
2522,11
2523,16
2524,12
2525,59
2526,2
2527,6
2528,1
2529,10
2530,4
2531,436
2532,1
2533,1
2534,90
2535,1
2536,19
2537,10
2538,15
2539,35
2540,33
2541,14
2542,1
2543,1
2544,9
2545,1
2546,2
2547,2
2548,20
2549,56
2550,144
2551,8
2552,38
2553,45
2554,4
2555,77
2556,16
2557,3
2558,12
2559,4
2560,14
2561,168
2562,50
2563,2
2564,4
2565,39
2566,4
2567,1
2568,52
2569,16
2570,10
2571,31
2572,15
2573,6
2574,12
2575,122
2576,144
2577,43
2578,110
2579,35
2580,22
2581,4
2582,34
2583,133
2584,11
2585,47
2586,14
2587,1
2588,8
2589,3
2590,1
2591,1
2592,29
2593,19
2594,31
2595,2
2596,24
2597,3
2598,1
2599,9
2600,14
2601,1
2602,91
2603,3
2604,6
2605,32
2606,12
2607,7
2608,1
2609,1
2610,111
2611,24
2612,9
2613,3
2614,9
2615,29
2616,46
2617,1
2618,2
2619,4
2620,42
2621,10
2622,22
2623,35
2624,3
2625,2
2626,22
2627,1
2628,29
2629,7
2630,1
2631,3
2632,5
2633,8
2634,11
2635,1
2636,11
2637,8
2638,1
2639,1
2640,1
2641,1
2642,1
2643,1
2644,102
2645,64
2646,1
2647,63
2648,2
2649,54
2650,1
2651,1
2652,52
2653,13
2654,4
2655,210
2656,3
2657,9
2658,7
2659,213
2660,3
2661,17
2662,4
2663,35
2664,6
2665,5
2666,3
2667,119
2668,8
2669,19
2670,3
2671,43
2672,1
2673,1
2674,5
2675,111
2676,6
2677,93
2678,4
2679,8
2680,8
2681,24
2682,4
2683,25
2684,1
2685,1
2686,174
2687,3
2688,1
2689,42
2690,1
2691,28
2692,2
2693,1
2694,18
2695,14
2696,95
2697,5
2698,2
2699,2
2700,31
2701,86
2702,13
2703,10
2704,30
2705,52
2706,10
2707,2
2708,3
2709,2
2710,6
2711,1
2712,36
2713,50
2714,22
2715,15
2716,1
2717,1
2718,2
2719,1
2720,17
2721,5
2722,8
2723,1
2724,6
2725,32
2726,14
2727,15
2728,8
2729,8
2730,163
2731,1
2732,1
2733,6
2734,3
2735,1
2736,9
2737,31
2738,3
2739,1
2740,14
2741,4
2742,17
2743,1
2744,5
2745,5
2746,1
2747,71
2748,36
2749,29
2750,6
2751,125
2752,21
2753,21
2754,37
2755,1
2756,67
2757,13
2758,28
2759,64
2760,12
2761,12
2762,154
2763,16
2764,99
2765,23
2766,36
2767,42
2768,25
2769,52
2770,8
2771,49
2772,25
2773,13
2774,5
2775,50
2776,1
2777,8
2778,1
2779,9
2780,4
2781,22
2782,2
2783,1
2784,6
2785,15
2786,69
2787,5
2788,1
2789,16
2790,12
2791,5
2792,107
2793,34
2794,9
2795,22
2796,9
2797,7
2798,81
2799,1
2800,39
2801,1
2802,60
2803,9
2804,61
2805,140
2806,19
2807,69
2808,25
2809,57
2810,39
2811,28
2812,1
2813,1
2814,8
2815,8
2816,38
2817,32
2818,9
2819,8
2820,7
2821,3
2822,25
2823,30
2824,72
2825,13
2826,13
2827,51
2828,37
2829,20
2830,30
2831,215
2832,59
2833,26
2834,16
2835,1
2836,99
2837,2
2838,75
2839,2
2840,2
2841,27
2842,6
2843,34
2844,10
2845,1
2846,202
2847,42
2848,100
2849,1
2850,54
2851,25
2852,27
2853,17
2854,49
2855,59
2856,10
2857,21
2858,13
2859,13
2860,8
2861,11
2862,5
2863,12
2864,5
2865,6
2866,53
2867,65
2868,105
2869,51
2870,15
2871,1
2872,3
2873,42
2874,21
2875,34
2876,62
2877,9
2878,10
2879,2
2880,52
2881,1
2882,4
2883,11
2884,3
2885,1
2886,17
2887,30
2888,4
2889,3
2890,11
2891,85
2892,28
2893,128
2894,1
2895,33
2896,49
2897,51
2898,21
2899,2
2900,19
2901,16
2902,33
2903,29
2904,13
2905,4
2906,1
2907,5
2908,1
2909,32
2910,14
2911,1
2912,1
2913,25
2914,38
2915,15
2916,1
2917,9
2918,36
2919,67
2920,18
2921,28
2922,3
2923,2
2924,2
2925,23
2926,35
2927,33
2928,70
2929,276
2930,12
2931,11
2932,8
2933,5
2934,1
2935,74
2936,1
2937,10
2938,3
2939,5
2940,5
2941,23
2942,6
2943,35
2944,1
2945,21
2946,1
2947,25
2948,9
2949,39
2950,18
2951,2
2952,229
2953,2
2954,38
2955,15
2956,5
2957,5
2958,3
2959,1
2960,23
2961,5
2962,6
2963,1
2964,1
2965,6
2966,59
2967,4
2968,24
2969,1
2970,131
2971,22
2972,1
2973,1
2974,1
2975,4
2976,7
2977,5
2978,5
2979,1
2980,22
2981,9
2982,10
2983,46
2984,32
2985,18
2986,1
