,id,ccm,bcm,ebcm
132,134,0.11095917105718371,0.3026272577996716,0.3157854406130268
133,135,0.15767690520563254,0.24768115942028987,0.25756410256410256
134,136,0.05548161864354741,0.13740635954376404,0.1274515320316847
135,137,0.08598193007275938,0.2389817629179331,0.2398459383753501
136,138,0.22061432970795938,0.2708333333333334,0.2818627450980392
137,139,0.08846173903323352,0.1717261904761904,0.1664612676056338
138,140,0.09356049033544021,0.11860566141852465,0.09674096190950127
139,141,0.22743455140403665,0.13563288563288567,0.1160629493962827
140,142,0.08591384758975268,0.09170766954926023,0.0765609368067119
141,143,0.1350788805113817,0.11994425719471086,0.09527010373955326
142,144,0.1696050719369926,0.16239002932551322,0.14032769556025373
143,145,0.13865988537561844,0.16387921022067364,0.14255034733635746
144,146,0.07560361624191257,0.3288305190744215,0.337180249851279
145,147,0.18408677427670303,0.23701298701298698,0.22961038961038963
146,148,0.07721549823223232,0.2521719457013575,0.23874732079066444
147,149,0.12745175634254455,0.09487585199610513,0.06829525573736751
148,150,0.14420571973260574,0.2512820512820513,0.251105216622458
149,151,0.07047995278161352,0.058541690597439716,0.04285674356528695
150,152,0.07884392528135009,0.11110209450917413,0.07796685666969788
151,153,0.26163358208418996,0.33333333333333337,0.4
152,154,0.09879297114843737,0.22220026350461136,0.215536231884058
153,155,0.09337490579548106,0.08131283589551308,0.0676612393147826
154,156,0.14513469280705799,0.12488577111218623,0.08921500116468668
155,157,0.07898222038988588,0.21103643093707378,0.18648046470915888
156,158,0.1125187443537046,0.12621234654302627,0.08989492510619274
157,159,0.07726064086946258,0.09933231002374701,0.08191437007874024
158,160,0.047250678615798354,0.18795601272665494,0.17316462906080266
159,161,0.15120913568019942,0.3283625730994152,0.3637119113573407
160,162,0.05884099506804489,0.21871551444336257,0.2175880738142444
161,163,0.09830568403926758,0.15460032065002977,0.15568088895002705
162,164,0.1446134993763157,0.19847370766488417,0.1837789661319073
163,165,0.07319150739244769,0.11423239439191586,0.08759262282837896
164,166,0.3486426767676768,0.3333333333333333,0.42857142857142855
165,167,0.04125538785856676,0.3241148325358851,0.328683278444044
166,168,0.07058675522763462,0.054470893415732045,0.041246752966791346
167,169,0.16724274984985693,0.06398130915713438,0.04384741873565879
168,170,0.14940917461398168,0.3157894736842105,0.35000000000000003
169,171,0.08225451682067286,0.14487579949427332,0.13693483611866825
170,172,0.11757662172924035,0.16033467087851105,0.1433916908563135
171,173,0.11204050062211321,0.10535606744956341,0.08811668594359873
172,174,0.10115613291538324,0.04844251416549908,0.031942608746732444
173,175,0.10385301187222487,0.10122006582680745,0.0846783401090517
174,176,0.06716310215219072,0.13580301338192363,0.13046711371596525
175,177,0.24297505285944926,0.18713450292397654,0.16801619433198384
176,178,0.11605007488468548,0.1579299353994137,0.14603914040919522
177,179,0.1126205993697696,0.08877433280614325,0.07161905170441547
178,180,0.10066144580865376,0.3016251221896384,0.3044229055258466
179,181,0.12284186294590045,0.052811269190579525,0.0381786227422003
180,182,0.0863485846322293,0.26484949159367766,0.263558231455097
181,183,0.12683124894120335,0.07108055180161073,0.055640379128997865
182,184,0.08946645670250189,0.10636758063942534,0.08663667250623772
183,185,0.06935695716293801,0.22245046620046624,0.1928712637573397
184,186,0.058014319426379336,0.16828965249466116,0.15238431837150532
185,187,0.10090344582247657,0.26319740793425,0.26187766714082505
186,188,0.10361486559119534,0.15588349892850187,0.14344632768361582
187,189,0.23815905451443797,0.10282976827094473,0.06600850130261894
188,190,0.14277509829523644,0.3333333333333333,0.36666666666666675
189,191,0.1287731735554103,0.11428731438812079,0.08250830093942337
190,192,0.0810676997714851,0.07199173634671721,0.04623337458794812
191,193,0.04683122708706582,0.17996898986404233,0.15953260172327102
192,194,0.3217603115039668,0.1052136269527574,0.08229451707712578
193,195,0.15184272018543316,0.14001308768750628,0.11467582804792102
194,196,0.21833840960246648,0.11887254901960782,0.1067538126361656
195,197,0.07856406872799652,0.05415879741122315,0.03869045162248946
196,198,0.0776244627455852,0.2150891547981584,0.21387228747572623
197,199,0.059655884619742375,0.162162208860322,0.1476435514171362
198,200,0.10291312488493526,0.11307137129109866,0.08790276992651214
199,201,0.08011525015251265,0.19325236815156172,0.18284009613234964
200,202,0.08517992094330529,0.1021191646191646,0.08864571092831959
